geometry,name
POINT (28.6586819999734 41.0093440005547),16
POINT (28.6957199999755 41.2302270005904),1
POINT (28.6233769999694 41.1559820005782),1
POINT (28.742324999979 41.1824370005827),1
POINT (28.7271979999779 41.2021080005859),1
POINT (28.7123540290844 41.1984840411452),1
POINT (28.7163009999772 41.2039230005862),1
POINT (28.698884972362 41.2204299953362),1
POINT (28.6858709999746 41.2645250005961),1
POINT (28.7662509999804 41.1806380005826),1
POINT (28.9226170000114 41.0895449991149),17
POINT (28.8675454059567 41.2732290356373),17
POINT (28.6083259634432 41.1302610430186),1
POINT (28.9208479999873 41.0905930005682),17
POINT (28.9332789999877 41.0799890005666),17
POINT (28.9083829999864 41.2529760005946),17
POINT (28.9367799999878 41.0894910005681),17
POINT (28.8428339999841 41.206951000587),17
POINT (28.8463849999848 41.0458420005609),4
POINT (28.8547779999851 41.0595540005631),4
POINT (28.8639740085284 40.9948819951747),6
POINT (28.6484949999725 40.9941260005522),11
POINT (28.7639609999802 41.1979250005854),1
POINT (28.7082909999765 41.2215370005891),1
POINT (28.7311319999782 41.2032740005862),1
POINT (28.9374179999879 41.0381500005598),17
POINT (28.7883649999819 41.0916560005682),7
POINT (29.0691639999908 41.0805150005667),10
POINT (29.0467860265263 41.0912700176886),28
POINT (29.2615149999936 40.9757540005501),31
POINT (29.0362849591894 41.1108990227385),28
POINT (29.1936669999928 41.0048330005546),27
POINT (29.1094949999915 41.0604040005635),10
POINT (29.0965919999912 41.0613170005636),10
POINT (28.8048889999828 41.084386000567),7
POINT (29.1364579999917 41.1396810005763),10
POINT (28.7506949999799 41.0768870005657),7
POINT (28.6680949999742 41.0127140005552),16
POINT (28.6455109999721 41.0297800005579),16
POINT (29.3008999999943 40.8472330005297),33
POINT (29.3761040000082 40.9166459991186),33
POINT (29.3598559700356 40.9239839618716),33
POINT (28.7137335695669 41.0034007314469),3
POINT (28.7138379999777 41.003730000554),3
POINT (28.7180579999781 40.9958690005527),3
POINT (28.7183559999781 40.9957940005527),3
POINT (28.7109489999775 41.0068520005544),3
POINT (28.7110270000068 41.0069569991164),3
POINT (28.7292059999784 40.9819240005502),3
POINT (28.7183839999781 40.991283000552),3
POINT (29.1381019999919 41.0748540005659),10
POINT (29.1777039999923 41.1440810005771),10
POINT (29.1381589562677 41.1080959968929),10
POINT (29.1226549999916 41.0899660005683),10
POINT (29.0676159999907 41.0943960005689),10
POINT (29.2319429999928 41.1894430005845),10
POINT (29.2990949999937 41.1535010005786),10
POINT (29.0745600457244 41.0741779683808),10
POINT (29.0952789595829 41.066322004008),10
POINT (29.0755070161832 41.103014022056),10
POINT (29.166005996457 41.0671329977697),10
POINT (29.149484999992 41.0741820005658),10
POINT (29.1196589999919 40.9685130005489),2
